icd_9,label_index,test_gold_support,scope,ngram_rank,ngram,n_notes_peaking_here,mean_attention,max_attention
272.0,3,278,all_test,7,wbc rbc hgb hct,8,0.0038,0.00556
272.0,3,278,all_test,8,capsule sig capsule po,8,0.00309,0.00446
272.0,3,278,all_test,9,using inhaler home p,7,0.00652,0.00652
272.0,3,278,all_test,10,generalized pain sharp stabbing,7,0.00322,0.00322
272.0,3,278,gold_notes,1,code status dnr dni,1,0.03716,0.03716
272.0,3,278,gold_notes,2,p q h percocet,1,0.02981,0.02981
272.0,3,278,gold_notes,3,psychotherapist married smoke take,1,0.02838,0.02838
272.0,3,278,gold_notes,4,physical exam bp hr,1,0.02812,0.02812
272.0,3,278,gold_notes,5,appendectomy open cholecystectomy social,1,0.02689,0.02689
272.0,3,278,gold_notes,6,previously lived alone apartment,1,0.02289,0.02289
272.0,3,278,gold_notes,7,ago heavy smoking prior,1,0.02254,0.02254
272.0,3,278,gold_notes,8,per work dishwasher typer,1,0.02054,0.02054
272.0,3,278,gold_notes,9,ed neurosurgery evaluation arrival,1,0.02015,0.02015
272.0,3,278,gold_notes,10,per son daughter ni,1,0.01959,0.01959
427.89,18,212,all_test,1,awoke neurologically intact extubated,10,0.00271,0.00353
427.89,18,212,all_test,2,support beta blocker initiated,9,0.00273,0.00362
427.89,18,212,all_test,3,beta blocker initiated gently,8,0.00189,0.00253
427.89,18,212,all_test,4,performed obvious p wave,7,0.00838,0.00838
427.89,18,212,all_test,5,mental status associated tachycardia,7,0.00325,0.00325
427.89,18,212,all_test,6,urean creat na k,7,0.00268,0.00517
427.89,18,212,all_test,7,empty drain frequently record,7,0.00226,0.00242
427.89,18,212,all_test,8,unasyn 3g iv q6h,7,0.0015,0.0015
427.89,18,212,all_test,9,tube became somnolent variety,7,0.00143,0.00143
427.89,18,212,all_test,10,became lethargic prior thus,6,0.00666,0.00666
427.89,18,212,gold_notes,1,ventricular escape rhythm atropine,1,0.01259,0.01259
427.89,18,212,gold_notes,2,bradycardia following pvi persistently,1,0.01253,0.01253
427.89,18,212,gold_notes,3,oral lopressor iv adenosine,1,0.01182,0.01182
427.89,18,212,gold_notes,4,bradycardia continued un rifaximin,1,0.0118,0.0118
427.89,18,212,gold_notes,5,tachycardia ep consult confirmed,1,0.01109,0.01109
427.89,18,212,gold_notes,6,failure supraventricular tachycardia supraventricular,1,0.01107,0.01107
427.89,18,212,gold_notes,7,130s associated calf pain,1,0.01067,0.01067
427.89,18,212,gold_notes,8,long qtc ecg thought,1,0.01065,0.01065
427.89,18,212,gold_notes,9,lowest sbp received 6mg,1,0.01044,0.01044
427.89,18,212,gold_notes,10,tachycardia presentation pt sinus,1,0.01035,0.01035
425.4,16,128,all_test,1,pain medication sudden change,41,0.00318,0.00507
425.4,16,128,all_test,2,cardiomyopathy sudden cardiac death,15,0.00331,0.00629
425.4,16,128,all_test,3,tablet sig tablet po,13,0.00173,0.00366
425.4,16,128,all_test,4,arrhythmia cardiomyopathy sudden cardiac,12,0.0027,0.00355
425.4,16,128,all_test,5,maintain strength assist wound,12,0.00216,0.00369
425.4,16,128,all_test,6,call physician immediately experience,10,0.00222,0.00267
425.4,16,128,all_test,7,beat variability left ventricular,9,0.00319,0.00374
425.4,16,128,all_test,8,wbc rbc hgb hct,9,0.00233,0.00379
425.4,16,128,all_test,9,mg tablet sig tablet,9,0.0021,0.00398
425.4,16,128,all_test,10,cardiac death otherwise non,8,0.00389,0.00775
425.4,16,128,gold_notes,1,p dual chamber icd,1,0.04188,0.04188
425.4,16,128,gold_notes,2,cardiomyopathy lvef ranging echo,1,0.03493,0.03493
425.4,16,128,gold_notes,3,cardiomyopathy lvef thought attributed,1,0.03416,0.03416
425.4,16,128,gold_notes,4,fraction hypertension hypogonadism ibs,1,0.02893,0.02893
425.4,16,128,gold_notes,5,viral myocarditis year ago,2,0.02782,0.03827
425.4,16,128,gold_notes,6,p biventricular pacemaker icd,1,0.0254,0.0254
425.4,16,128,gold_notes,7,cardiomyopathy p bivicd placement,1,0.02518,0.02518
425.4,16,128,gold_notes,8,w ef cause unknown,1,0.02347,0.02347
425.4,16,128,gold_notes,9,ef aflutter dabigatran biv,1,0.02299,0.02299
425.4,16,128,gold_notes,10,cardiomyopathy systolic chf lvef,1,0.02265,0.02265
427.1,42,110,all_test,1,tablet sig tablet po,20,0.00214,0.0034
427.1,42,110,all_test,2,mg tablet sig tablet,16,0.00185,0.00314
427.1,42,110,all_test,3,bowel sound present rebound,12,0.00177,0.00343
427.1,42,110,all_test,4,day cycle bendamustine mg,10,0.00616,0.00773
427.1,42,110,all_test,5,guarding organomegaly gu foley,9,0.00307,0.00462
427.1,42,110,all_test,6,acetaminophen mg tablet sig,9,0.00174,0.00235
427.1,42,110,all_test,7,well summer developed evidence,7,0.00442,0.00442
427.1,42,110,all_test,8,mental status associated tachycardia,7,0.00302,0.00302
427.1,42,110,all_test,9,within hour weaned sedation,7,0.00236,0.0032
427.1,42,110,all_test,10,ext warm well perfused,7,0.00197,0.00206
427.1,42,110,gold_notes,1,nsvt longest run nsvt,1,0.01437,0.01437
427.1,42,110,gold_notes,2,ectopy run nsvt telemetry,1,0.01327,0.01327
427.1,42,110,gold_notes,3,run non sustained vtach,1,0.01183,0.01183
427.1,42,110,gold_notes,4,beat run non sustained,1,0.01109,0.01109
427.1,42,110,gold_notes,5,tachycardia given low ejection,1,0.01075,0.01075
427.1,42,110,gold_notes,6,became bradycardic given atropine,1,0.01036,0.01036
427.1,42,110,gold_notes,7,remained hemodynamically stable episode,1,0.01024,0.01024
427.1,42,110,gold_notes,8,vtach beat run foley,1,0.01005,0.01005
427.1,42,110,gold_notes,9,route ed started amiodorome,1,0.00972,0.00972
427.1,42,110,gold_notes,10,shock day impression diuresis,1,0.00944,0.00944
560.1,11,83,all_test,1,tablet sig tablet po,15,0.00228,0.00336
560.1,11,83,all_test,2,rel particle crystal po,14,0.00188,0.00238
560.1,11,83,all_test,3,sust rel particle crystal,13,0.00232,0.00575
560.1,11,83,all_test,4,mg tablet sig tablet,11,0.00195,0.00357
560.1,11,83,all_test,5,rbc hgb hct mcv,10,0.00203,0.00294
560.1,11,83,all_test,6,keep leg straight someone,9,0.00343,0.00468
560.1,11,83,all_test,7,particle crystal po q12h,9,0.0021,0.00266
560.1,11,83,all_test,8,tab sust rel particle,9,0.00205,0.00269
560.1,11,83,all_test,9,neck supple jvp elevated,8,0.00137,0.00189
560.1,11,83,all_test,10,peripheral blood smear showed,7,0.00421,0.00421
560.1,11,83,gold_notes,1,funnction tolerating po upon,1,0.03694,0.03694
560.1,11,83,gold_notes,2,operative ileus ngt replaced,1,0.02069,0.02069
560.1,11,83,gold_notes,3,kub obtained consistent ileus,1,0.01485,0.01485
560.1,11,83,gold_notes,4,requiring nasogastric tube tpn,1,0.01266,0.01266
560.1,11,83,gold_notes,5,surgery consulted reccommendations appreciated,1,0.01166,0.01166
560.1,11,83,gold_notes,6,tube intermittent suction ileus,1,0.01143,0.01143
560.1,11,83,gold_notes,7,abdomen distended bowel movement,1,0.01129,0.01129
560.1,11,83,gold_notes,8,successfully decompressed another kub,1,0.01117,0.01117
560.1,11,83,gold_notes,9,ileus kept npo bowel,1,0.011,0.011
560.1,11,83,gold_notes,10,resolved diet slowly advanced,1,0.01078,0.01078
286.9,28,78,all_test,1,hct mcv mch mchc,11,0.00229,0.00333
286.9,28,78,all_test,2,dtrs name2 ni tri,8,0.00156,0.00261
286.9,28,78,all_test,3,dic requiring multiple transfusion,7,0.00455,0.00455
286.9,28,78,all_test,4,sense proprioception throughout extinction,7,0.0021,0.00316
286.9,28,78,all_test,5,doctor duration cxr showing,7,0.00138,0.00138
286.9,28,78,all_test,6,metas myelos nuc rbc,7,0.00133,0.00133
286.9,28,78,all_test,7,cephalosporin carbacephems carbapenems beta,7,0.00119,0.00139
286.9,28,78,all_test,8,indicating dic increasing wbc,6,0.00579,0.00579
286.9,28,78,all_test,9,inr dobhoff placed tube,6,0.00402,0.00402
286.9,28,78,all_test,10,next several hour awoke,6,0.00375,0.00375
286.9,28,78,gold_notes,1,sepsis dic lab normal,1,0.01923,0.01923
286.9,28,78,gold_notes,2,distal esophageal gastric necrosis,1,0.01835,0.01835
286.9,28,78,gold_notes,3,known varicies given septic,1,0.01058,0.01058
286.9,28,78,gold_notes,4,failure likewise worsened tbili,1,0.00926,0.00926
286.9,28,78,gold_notes,5,vitamin k address nutritional,1,0.00798,0.00798
286.9,28,78,gold_notes,6,prbc unit cryoprecipitate unit,1,0.00789,0.00789
286.9,28,78,gold_notes,7,increased neosynephrine added given,1,0.00775,0.00775
286.9,28,78,gold_notes,8,side effect antibiotic known,1,0.00773,0.00773
286.9,28,78,gold_notes,9,condition relatively hypoxic post,1,0.00728,0.00728
286.9,28,78,gold_notes,10,acidosis hypoalbuminemia together concerning,1,0.00666,0.00666
401.1,114,72,all_test,1,procedure well post operatively,12,0.00194,0.00279
401.1,114,72,all_test,2,medicine allergy known allergy,12,0.00141,0.00192
401.1,114,72,all_test,3,brief mr known lastname,11,0.0019,0.00358
401.1,114,72,all_test,4,md number completed,11,0.00188,0.00259
401.1,114,72,all_test,5,k cl hco3 angap,11,0.00163,0.0019
401.1,114,72,all_test,6,tenderness guarding organomegaly gu,10,0.00107,0.00118
401.1,114,72,all_test,7,operatively transferred cvicu stable,9,0.00215,0.00333
401.1,114,72,all_test,8,mg tablet sig tablet,8,0.00222,0.00288
401.1,114,72,all_test,9,well post operatively transferred,8,0.00193,0.00243
401.1,114,72,all_test,10,cardiothoracic allergy recorded known,7,0.00216,0.00328
401.1,114,72,gold_notes,1,sedated made dnr dni,1,0.00572,0.00572
401.1,114,72,gold_notes,2,made cmo transferred floor,1,0.00424,0.00424
401.1,114,72,gold_notes,3,right tka present illness,1,0.00371,0.00371
401.1,114,72,gold_notes,4,time needed uti dose,1,0.00309,0.00309
401.1,114,72,gold_notes,5,revascularization surgical detail please,1,0.00306,0.00306
401.1,114,72,gold_notes,6,patient severe infection multi,1,0.00275,0.00275
401.1,114,72,gold_notes,7,including thrombocytopenia coagulopathy medical,1,0.00269,0.00269
401.1,114,72,gold_notes,8,repair fortuantely remained hemodynamically,1,0.00243,0.00243
401.1,114,72,gold_notes,9,inr received vitamin k,1,0.00241,0.00241
401.1,114,72,gold_notes,10,rebound gu foley catheter,1,0.00231,0.00231
785.51,27,65,all_test,1,tablet sig tablet po,22,0.0025,0.00642
785.51,27,65,all_test,2,mg tablet sig tablet,12,0.00253,0.00456
785.51,27,65,all_test,3,condition recovery invasive monitoring,9,0.00206,0.00266
785.51,27,65,all_test,4,age complication congestive heart,8,0.00123,0.00128
785.51,27,65,all_test,5,tablet sig two tablet,7,0.00438,0.00762
785.51,27,65,all_test,6,present rebound tenderness guarding,7,0.00236,0.00307
785.51,27,65,all_test,7,vomiting cannot keep fluid,7,0.00214,0.00308
785.51,27,65,all_test,8,vp shunt placement w,7,0.00193,0.00193
785.51,27,65,all_test,9,stain approximately cell immunophenotypic,7,0.00187,0.00187
785.51,27,65,all_test,10,nadolol lasix spironolactone medication,7,0.00173,0.00173
785.51,27,65,gold_notes,1,converted pea regained pulse,1,0.00733,0.00733
785.51,27,65,gold_notes,2,support problem ni given,1,0.00728,0.00728
785.51,27,65,gold_notes,3,disease iabp placed cardiogenic,1,0.00525,0.00525
785.51,27,65,gold_notes,4,shock presented feature cardiogenic,1,0.00524,0.00524
785.51,27,65,gold_notes,5,shock pod tte confirmed,1,0.00474,0.00474
785.51,27,65,gold_notes,6,postoperative respiratory acquired pneumonia,1,0.00473,0.00473
785.51,27,65,gold_notes,7,found severe three vessel,1,0.00467,0.00467
785.51,27,65,gold_notes,8,culteres ribosomal pcr sample,1,0.00445,0.00445
785.51,27,65,gold_notes,9,atrial fibrillation sinus rhythm,1,0.00423,0.00423
785.51,27,65,gold_notes,10,cardiogenic shock found developed,1,0.00406,0.00406
518.89,48,65,all_test,1,parking ward garage,21,0.00158,0.00207
518.89,48,65,all_test,2,drainage incision bleeding groin,19,0.00345,0.00435
518.89,48,65,all_test,3,cleared surgeon look incision,17,0.00173,0.0032
518.89,48,65,all_test,4,swimming cleared surgeon look,13,0.00151,0.00173
518.89,48,65,all_test,5,md md number,11,0.00158,0.00209
518.89,48,65,all_test,6,urean creat na k,11,0.00135,0.00184
518.89,48,65,all_test,7,condition mental status clear,9,0.00197,0.00245
518.89,48,65,all_test,8,clear coherent level consciousness,8,0.0024,0.00294
518.89,48,65,all_test,9,md number completed,8,0.00199,0.00252
518.89,48,65,all_test,10,medicine allergy recorded known,8,0.0019,0.00366
518.89,48,65,gold_notes,1,incidental ct scan outpt,1,0.00859,0.00859
518.89,48,65,gold_notes,2,nodule month dr stitle,1,0.00646,0.00646
518.89,48,65,gold_notes,3,x ray thoracic surgery,1,0.00623,0.00623
518.89,48,65,gold_notes,4,lower extremity report posturing,1,0.0062,0.0062
518.89,48,65,gold_notes,5,ct noted requires follow,1,0.00557,0.00557
518.89,48,65,gold_notes,6,nodule mm lung nodule,1,0.00488,0.00488
518.89,48,65,gold_notes,7,disease obstructive lung disease,1,0.00461,0.00461
518.89,48,65,gold_notes,8,scan recommended follow potential,1,0.00446,0.00446
518.89,48,65,gold_notes,9,name8 md md md,1,0.00393,0.00393
518.89,48,65,gold_notes,10,pulmonary nodule noted ct,1,0.00385,0.00385
430,17,54,all_test,1,delayed release e c,182,0.00184,0.00402
430,17,54,all_test,2,tablet delayed release e,123,0.00196,0.00377
430,17,54,all_test,3,release e c sig,81,0.00193,0.00443
430,17,54,all_test,4,sig tablet delayed release,79,0.00228,0.00498
430,17,54,all_test,5,c sig tablet delayed,72,0.00205,0.00415
430,17,54,all_test,6,release e c po,64,0.00213,0.00402
430,17,54,all_test,7,e c sig tablet,57,0.00186,0.00329
430,17,54,all_test,8,capsule delayed release e,50,0.00181,0.00304
430,17,54,all_test,9,mg tablet delayed release,41,0.0018,0.00289
430,17,54,all_test,10,mg capsule delayed release,31,0.00199,0.00381
430,17,54,gold_notes,1,discussion held made dnr,1,0.0093,0.0093
430,17,54,gold_notes,2,effect 10mm rightward ml,1,0.00835,0.00835
430,17,54,gold_notes,3,hr rr sao2 neurosurgery,1,0.00739,0.00739
430,17,54,gold_notes,4,showed large cerebellar hemorrhage,1,0.00597,0.00597
430,17,54,gold_notes,5,source sah morning underwent,1,0.00491,0.00491
430,17,54,gold_notes,6,sylvian cistern close proximity,1,0.00483,0.00483
430,17,54,gold_notes,7,head ct showed sah,1,0.00473,0.00473
430,17,54,gold_notes,8,admitting resident note code,1,0.00472,0.00472
430,17,54,gold_notes,9,angio avm successfully embolized,1,0.00442,0.00442
430,17,54,gold_notes,10,small saccular dilatation site,1,0.0044,0.0044
576.1,15,49,all_test,1,rel particle crystal po,12,0.0019,0.00225
576.1,15,49,all_test,2,glucose urean creat na,8,0.00226,0.00417
576.1,15,49,all_test,3,liver pork liver mayonnaise,8,0.0022,0.00275
576.1,15,49,all_test,4,medicine prescribed exercise limited,8,0.00193,0.00263
576.1,15,49,all_test,5,capsule sig capsule po,8,0.00192,0.00294
576.1,15,49,all_test,6,telephone fax completed,8,0.00184,0.0022
576.1,15,49,all_test,7,recommended ercp rule cholangitis,7,0.00319,0.00319
576.1,15,49,all_test,8,fax time completed,7,0.00201,0.00278
576.1,15,49,all_test,9,correct complete information obtained,7,0.00196,0.00266
576.1,15,49,all_test,10,general alert oriented acute,7,0.00193,0.00248
576.1,15,49,gold_notes,1,diagnosis cholangitis biliary sepsis,1,0.00919,0.00919
576.1,15,49,gold_notes,2,due elevated inr likely,1,0.00743,0.00743
576.1,15,49,gold_notes,3,ercp afebrile stable vital,1,0.00648,0.00648
576.1,15,49,gold_notes,4,medicine biliary sepsis sepsis,1,0.00631,0.00631
576.1,15,49,gold_notes,5,anticipation ercp went directly,1,0.00606,0.00606
576.1,15,49,gold_notes,6,diffuse biliary dilation multiple,1,0.00579,0.00579
576.1,15,49,gold_notes,7,surgical invasive procedure ercp,1,0.00569,0.00569
576.1,15,49,gold_notes,8,duct cbd dilation pt,1,0.00551,0.00551
576.1,15,49,gold_notes,9,choledocholithiasis p ercp sphincterotomy,1,0.0055,0.0055
576.1,15,49,gold_notes,10,biliary obstruction taken ercp,1,0.00539,0.00539
253.6,80,45,all_test,1,delayed release e c,81,0.00177,0.00345
253.6,80,45,all_test,2,release e c po,56,0.00167,0.0032
253.6,80,45,all_test,3,tablet delayed release e,54,0.00176,0.00324
253.6,80,45,all_test,4,sig tablet delayed release,37,0.00194,0.00384
253.6,80,45,all_test,5,capsule delayed release e,37,0.0017,0.0033
253.6,80,45,all_test,6,c po daily daily,35,0.00186,0.00311
253.6,80,45,all_test,7,e c sig tablet,32,0.00171,0.0034
253.6,80,45,all_test,8,release e c sig,30,0.00205,0.00302
253.6,80,45,all_test,9,c sig tablet delayed,27,0.00146,0.00234
253.6,80,45,all_test,10,e c po daily,24,0.00174,0.00285
253.6,80,45,gold_notes,1,likely combination two suspected,1,0.01488,0.01488
253.6,80,45,gold_notes,2,siadh intracranial process management,1,0.01126,0.01126
253.6,80,45,gold_notes,3,malignancy etiology siadh mass,1,0.01039,0.01039
253.6,80,45,gold_notes,4,also diuresed iv po,1,0.00919,0.00919
253.6,80,45,gold_notes,5,improvement fluid restriction continue,1,0.00873,0.00873
253.6,80,45,gold_notes,6,acute exacerbation thought consequence,1,0.00833,0.00833
253.6,80,45,gold_notes,7,siadh exacerbated excessive po,1,0.00832,0.00832
253.6,80,45,gold_notes,8,siadh need limit fluid,1,0.00823,0.00823
253.6,80,45,gold_notes,9,showed change previous ct,1,0.00751,0.00751
253.6,80,45,gold_notes,10,uncertain risk factor siadh,1,0.00743,0.00743
745.5,43,41,all_test,1,foramen ovale present left,11,0.00519,0.00746
745.5,43,41,all_test,2,pork liver mayonnaise margarine,8,0.0021,0.00261
745.5,43,41,all_test,3,splenomegaly htn stress neg,7,0.00174,0.00174
745.5,43,41,all_test,4,male appering comfortable nad,7,0.00156,0.00156
745.5,43,41,all_test,5,exam vital sign bp,7,0.00145,0.00145
745.5,43,41,all_test,6,sclera anicteric perrl eomi,7,0.00141,0.00238
745.5,43,41,all_test,7,ha medical obesity h,7,0.00137,0.00137
745.5,43,41,all_test,8,atrial appendage patent foramen,6,0.00495,0.00686
745.5,43,41,all_test,9,non contributory physical exam,6,0.00304,0.00415
745.5,43,41,all_test,10,patent foramen ovale present,6,0.00288,0.0034
745.5,43,41,gold_notes,1,ovale present left right,1,0.01181,0.01181
745.5,43,41,gold_notes,2,reflux disease patent foramen,1,0.00992,0.00992
745.5,43,41,gold_notes,3,anticardiolipin antibody protein c,1,0.00762,0.00762
745.5,43,41,gold_notes,4,cardiac catheterization assess significance,1,0.00679,0.00679
745.5,43,41,gold_notes,5,v pfo atrial fibrillation,1,0.00665,0.00665
745.5,43,41,gold_notes,6,negative medical cva pfo,1,0.00658,0.00658
745.5,43,41,gold_notes,7,though pfo h pfo,1,0.00634,0.00634
745.5,43,41,gold_notes,8,closure patent foramen ovale,2,0.00633,0.00677
745.5,43,41,gold_notes,9,head neck cta demonstrated,1,0.00616,0.00616
745.5,43,41,gold_notes,10,foramen ovale cxr tip,1,0.00614,0.00614
519.19,87,40,all_test,1,major surgical invasive procedure,14,0.00214,0.00443
519.19,87,40,all_test,2,review system notable absence,14,0.0015,0.00246
519.19,87,40,all_test,3,disposition extended care facility,12,0.00221,0.00267
519.19,87,40,all_test,4,dry x intact x,12,0.00192,0.00323
519.19,87,40,all_test,5,system negative cardiac review,12,0.00185,0.00291
519.19,87,40,all_test,6,v vii facial strength,10,0.00212,0.00273
519.19,87,40,all_test,7,cardiac review system notable,9,0.00214,0.0027
519.19,87,40,all_test,8,x intact x heent,8,0.00214,0.00263
519.19,87,40,all_test,9,mr known lastname admitted,8,0.00173,0.00237
519.19,87,40,all_test,10,x eomi x neck,7,0.00214,0.00229
519.19,87,40,gold_notes,1,showed severe laryngeal stenosis,1,0.01146,0.01146
519.19,87,40,gold_notes,2,subglottis approximately original caliber,1,0.00905,0.00905
519.19,87,40,gold_notes,3,transferred hospital1 evaluation tracheobronchomalacia,1,0.00863,0.00863
519.19,87,40,gold_notes,4,known lastname year old,1,0.0074,0.0074
519.19,87,40,gold_notes,5,bronchus bronchus intermedius bronchoplasty,1,0.00709,0.00709
519.19,87,40,gold_notes,6,bronchoscopy removal tracheal metal,1,0.00698,0.00698
519.19,87,40,gold_notes,7,dm htn tracheobronchomalacia multiple,1,0.00694,0.00694
519.19,87,40,gold_notes,8,evening tracheobronchomalacia ip assessment,1,0.00613,0.00613
519.19,87,40,gold_notes,9,steroid copd tracheobronchomalacia multiple,1,0.00608,0.00608
519.19,87,40,gold_notes,10,panick attack respiratory compromise,1,0.00601,0.00601
557.0,2,39,all_test,1,mg tablet sig tablet,44,0.00219,0.00414
557.0,2,39,all_test,2,tablet sig tablet po,34,0.00207,0.00578
557.0,2,39,all_test,3,delayed release e c,24,0.00149,0.00221
557.0,2,39,all_test,4,mg tablet delayed release,23,0.00167,0.00401
557.0,2,39,all_test,5,hcl mg tablet sig,21,0.00207,0.00285
557.0,2,39,all_test,6,sig tablet po daily,21,0.0018,0.00372
557.0,2,39,all_test,7,tablet sig two tablet,16,0.00169,0.00278
557.0,2,39,all_test,8,tablet delayed release e,16,0.00161,0.00345
557.0,2,39,all_test,9,tablet po daily daily,15,0.00214,0.00458
557.0,2,39,all_test,10,medicine allergy recorded known,13,0.00189,0.00336
557.0,2,39,gold_notes,1,immediately cvicu care upon,1,0.01297,0.01297
557.0,2,39,gold_notes,2,visceral necrosis surgical candidate,1,0.01131,0.01131
557.0,2,39,gold_notes,3,numerous spinal fracture right,1,0.00822,0.00822
557.0,2,39,gold_notes,4,exploratory laparotomy given concern,1,0.00722,0.00722
557.0,2,39,gold_notes,5,viable tissue preserve abdomen,1,0.00681,0.00681
557.0,2,39,gold_notes,6,closed surgical staple ileostomy,1,0.0053,0.0053
557.0,2,39,gold_notes,7,laparotomy procedure underwent superior,1,0.00489,0.00489
557.0,2,39,gold_notes,8,laparotomy small bowel resection,1,0.00474,0.00474
557.0,2,39,gold_notes,9,tolerated procedure well taken,1,0.00423,0.00423
557.0,2,39,gold_notes,10,flexure takedown rigid sigmoidoscopy,1,0.00321,0.00321
441.4,19,38,all_test,1,please shower daily including,23,0.00224,0.00449
441.4,19,38,all_test,2,instruction please shower daily,22,0.00199,0.00329
441.4,19,38,all_test,3,parking ward garage,19,0.00197,0.00318
441.4,19,38,all_test,4,shower daily including washing,13,0.0021,0.00337
441.4,19,38,all_test,5,md number completed,12,0.00228,0.00456
441.4,19,38,all_test,6,ward garage completed,11,0.00162,0.00194
441.4,19,38,all_test,7,alt ast ld ldh,8,0.00138,0.00331
441.4,19,38,all_test,8,md md number,7,0.00369,0.00671
441.4,19,38,all_test,9,nitrate powder sig appl,7,0.00266,0.00325
441.4,19,38,all_test,10,aaa repair sister coronary,7,0.00255,0.00255
441.4,19,38,gold_notes,1,aneurysm repair present illness,1,0.02481,0.02481
441.4,19,38,gold_notes,2,stone pe ivc filter,1,0.01942,0.01942
441.4,19,38,gold_notes,3,aortic aneurysm present illness,1,0.01449,0.01449
441.4,19,38,gold_notes,4,tube graft present illness,1,0.01427,0.01427
441.4,19,38,gold_notes,5,revealed three vessel coronary,1,0.01427,0.01427
441.4,19,38,gold_notes,6,mural thrombus aaa cm,1,0.01347,0.01347
441.4,19,38,gold_notes,7,catherization present illness mr,1,0.01207,0.01207
441.4,19,38,gold_notes,8,anemia cataract cm abdominal,1,0.01118,0.01118
441.4,19,38,gold_notes,9,hematuria resolved aaa 3cm,1,0.00928,0.00928
441.4,19,38,gold_notes,10,low abdominal back pai,1,0.00817,0.00817
255.41,6,37,all_test,1,present illness year old,10,0.00381,0.01127
255.41,6,37,all_test,2,major surgical invasive procedure,10,0.00263,0.0042
255.41,6,37,all_test,3,unit unit unit unit,8,0.00183,0.00261
255.41,6,37,all_test,4,prednisone started adrenal insufficiency,7,0.00304,0.00304
255.41,6,37,all_test,5,dose chemotherapy good response,7,0.00166,0.00166
255.41,6,37,all_test,6,ct intracranial hemorrhage parenchymal,7,0.00156,0.00156
255.41,6,37,all_test,7,oral mucosa xanthalesma neck,7,0.00146,0.00198
255.41,6,37,all_test,8,doppler test location anesthesia,7,0.00131,0.00158
255.41,6,37,all_test,9,ago describes gassy pain,7,0.00123,0.00123
255.41,6,37,all_test,10,brought operating room right,6,0.00302,0.00302
255.41,6,37,gold_notes,1,recommendation transplant surgery dr,1,0.01144,0.01144
255.41,6,37,gold_notes,2,etiology likely etiology episode,1,0.00585,0.00585
255.41,6,37,gold_notes,3,low sodium level viral,1,0.00471,0.00471
255.41,6,37,gold_notes,4,adrenal crisis unsure precipitant,1,0.00462,0.00462
255.41,6,37,gold_notes,5,started stress dose steroid,1,0.00433,0.00433
255.41,6,37,gold_notes,6,sepsis initially stress dose,1,0.00388,0.00388
255.41,6,37,gold_notes,7,adrenal insufficiency due recent,1,0.00367,0.00367
255.41,6,37,gold_notes,8,gout need continue prednisone,1,0.00363,0.00363
255.41,6,37,gold_notes,9,hydrocortisone though blood pressure,1,0.00362,0.00362
255.41,6,37,gold_notes,10,stress dose steroid wit,1,0.00352,0.00352
693.0,49,37,all_test,1,healing well erythema drainage,32,0.00226,0.00364
693.0,49,37,all_test,2,powder sig appl topical,17,0.00282,0.00366
693.0,49,37,all_test,3,tablet sig tablet po,17,0.00264,0.00643
693.0,49,37,all_test,4,right left healing well,17,0.00221,0.00299
693.0,49,37,all_test,5,well erythema drainage edema,14,0.00235,0.00355
693.0,49,37,all_test,6,left healing well erythema,14,0.00229,0.00347
